"tract","Name","Median_Hhold._Income_of_Residents_in_2012-16"
20043020200,"Troy, KS",50530
6059001801,"Fullerton, CA",50501
6037403722,"Covina, CA",50462
42011013800,"Hamburg, PA",50427
6053013900,"Seaside, CA",50410
45073030602,"Seneca, SC",50406
26049011209,"Grand Blanc, MI",50380
12109021205,"St. Augustine, FL",50365
18007100100,"Otterbein, IN",50342
12031012000,"Northwest, Jacksonville, FL",50081
48285000100,"Hallettsville, TX",50062
12111382108,"Saint Lucie West, Port St. Lucie, FL",50012
46103011200,"Rapid City, SD",49994
45015020718,"Summerville, SC",49937
39119911100,"Dresden, OH",49922
39061006500,"North Avondale, Cincinnati, OH",49906
72127010022,"San Juan, PR",49906
6037533401,"Maywood, CA",49816
55135101000,"Waupaca, WI",49719
42125744100,"Canonsburg, PA",49711
4005001500,"Mormon Lake, AZ",49686
18095010500,"Alexandria, IN",49646
27007450500,"Kelliher, MN",49570
20091051906,"Highpointe Village, Overland Park, KS",49561
39057270100,"Jamestown, OH",49556
41067031006,"Greenway, Beaverton, OR",49499
26115831700,"Monroe, MI",49493
13135050435,"Lilburn, GA",49484
12086009024,"Miami, FL",49481
51033030300,"Bowling Green, VA",49442
26099251900,"Saint Clair Shores, MI",49435
55033970700,"Menomonie, WI",49414
6065042300,"Riverside, CA",49377
42003477300,"Pittsburgh, PA",49245
55037190100,"Florence, WI",49216
12089050503,"Callahan, FL",49103
22017024301,"Shreveport, LA",49044
17031803612,"Arlington Heights, IL",48901
22099020400,"Saint Martinville, LA",48898
6037131800,"Reseda, Los Angeles, CA",48867
48113017101,"Dallas, TX",48686
48141004311,"Album, El Paso, TX",48659
48439113110,"North Arlington, Arlington, TX",48631
6061020713,"Meadow Oaks, Roseville, CA",48495
24005400100,"Catonsville, MD",48483
53067012620,"Tenino, WA",48463
40143006906,"Regency Park, Tulsa, OK",48390
1015001800,"Weaver, AL",48319
12011020407,"North Lauderdale, FL",48293
19117950100,"Chariton, IA",48266
6073003115,"Bay Terraces, San Diego, CA",48260
37131920402,"Henrico, NC",48211
39153503701,"Ellet, Akron, OH",48169
12105016001,"Fort Meade, FL",48143
20179952700,"Hoxie, KS",48143
37077970500,"Oxford, NC",47884
39035185103,"South Euclid, OH",47881
6059099701,"Midway City, CA",47799
35049000700,"Santa Fe, NM",47753
17097862200,"Waukegan, IL",47737
37055970502,"Frisco, NC",47715
34017001202,"Journal Square, Jersey City, NJ",47464
36067013000,"Syracuse, NY",47413
34013007400,"Newark, NJ",47320
9011696100,"Taftville, Norwich, CT",47320
42073011700,"Ellwood City, PA",47320
12071010203,"Diplomat, Cape Coral, FL",47269
23007970101,"Kingfield, ME",47254
42117951000,"Liberty, PA",47173
4013050603,"Tonopah, AZ",47170
47037010301,"Goodlettsville, TN",47132
45029970402,"Walterboro, SC",47080
55053960500,"Black River Falls, WI",47062
49013940300,"Duchesne, UT",47042
49057201600,"Ogden, UT",47021
6077003305,"Stockton, CA",46996
45091060804,"Rock Hill, SC",46996
32003002916,"Canyon Gate, Las Vegas, NV",46988
49049002701,"Provost, Provo, UT",46988
12127082607,"Ocean View Halifax Estates, Port Orange, FL",46953
39059977100,"Quaker City, OH",46936
18177010100,"Richmond, IN",46834
23009965100,"Waltham, ME",46831
54051020800,"Cameron, WV",46782
12057013913,"Wimauma, FL",46649
9013530301,"Vernon, CT",46536
36071011300,"Middletown, NY",46474
55005001002,"Chetek, WI",46449
25021456302,"Stoughton, MA",46334
13121007802,"Niskey Cove, Atlanta, GA",46332
20177001601,"Central Topeka 2, Topeka, KS",46209
42057960100,"McConnellsburg, PA",46152
47005963100,"Camden, TN",46137
48289950200,"Marquez, TX",46134
6067001300,"Central Sacramento, Sacramento, CA",46131
72029100504,"Canóvanas, PR",46131
42051260200,"Brownsville, PA",46054
12111382111,"Port St. Lucie, FL",46048
20091050301,"Morrison Ridge, Mission, KS",45958
12009071337,"Palm Bay, FL",45896
33017084400,"Rochester, NH",45841
42065950600,"Corsica, PA",45782
27113090400,"Thief River Falls, MN",45733
1013953000,"Greenville, AL",45592
39151714302,"Massillon, OH",45581
18049953500,"Akron, IN",45560
12103024511,"Saint Petersburg, FL",45418
25013810200,"Palmer, MA",45366
26163568900,"Westland, MI",45366
17161020900,"East Moline, IL",45139
6037133100,"Tarzana, Los Angeles, CA",44973
37159051901,"Mount Ulla, NC",44814
42073011100,"Wampum, PA",44801
5119004106,"Cloverdale Watson, Little Rock, AR",44762
41029001001,"Central Point, OR",44727
25025170501,"Revere, MA",44693
12103025207,"Largo, FL",44686
37145920100,"Roxboro, NC",44620
12031010500,"Northside, Jacksonville, FL",44580
17111870606,"McHenry, IL",44555
6037187200,"Echo Park, Los Angeles, CA",44505
36029007700,"Tonawanda, NY",44393
13063040416,"Forest Park, GA",44341
39019720700,"Carrollton, OH",44299
48167725600,"Galveston, TX",44299
37121950400,"Spruce Pine, NC",44273
36001012700,"Cohoes, NY",44271
12061050602,"Vero Beach, FL",44243
36029007202,"Waterfront, Buffalo, NY",44237
49049003105,"Springville, UT",44234
42045403300,"Clifton Heights, PA",44170
44007017300,"Woonsocket, RI",44114
25025170400,"Revere, MA",43960
1019955900,"Piedmont, AL",43918
4013061300,"Goodyear Estates, Goodyear, AZ",43786
13045910701,"Carrollton, GA",43718
25013812701,"Westfield, MA",43712
19127950900,"Marshalltown, IA",43699
19193001800,"Sioux City, IA",43628
6037542401,"Compton, CA",43572
31079000200,"Grand Island, NE",43410
48201322800,"Red Bluff Terrace, Pasadena, TX",43371
21171930100,"Tompkinsville, KY",43359
37159051204,"Salisbury, NC",43342
37021001900,"Beverly Hills, Asheville, NC",43318
36055002900,"Park Avenue, Rochester, NY",43300
47113001605,"Jackson, TN",43273
39035177101,"Parma, OH",43260
4021000700,"San Manuel, AZ",43172
18067001300,"Cedar Crest, Kokomo, IN",43107
48141000204,"Northeast El Paso, El Paso, TX",43033
13121011303,"East Point, GA",42960
51830370200,"Williamsburg, VA",42897
8059010702,"Wheat Ridge, CO",42897
22051024400,"Jefferson, LA",42878
36047088400,"Kings County, NY",42562
36081027300,"Queens County, NY",42540
19153000400,"Highland Park, Des Moines, IA",42496
6037433902,"El Monte, CA",42477
27053020304,"Minneapolis, MN",42069
6037541300,"Compton, CA",42009
54077963900,"Masontown, WV",42006
18097354200,"Mile Square, Indianapolis, IN",41971
17073030900,"Kewanee, IL",41934
46007941000,"Martin, SD",41883
2170000200,"Matanuska-Susitna County, AK",41847
21029020800,"Shepherdsville, KY",41835
26055550500,"Grawn, MI",41806
48107950300,"Lorenzo, TX",41806
37035010303,"Hickory, NC",41806
17031031700,"Uptown, Chicago, IL",41789
55079020400,"Polonia, Milwaukee, WI",41756
1127020300,"Jasper, AL",41751
6037500402,"El Rancho, Pico Rivera, CA",41743
36011041800,"Auburn, NY",41550
36027220700,"Poughkeepsie, NY",41309
53077001000,"Yakima, WA",41298
35001004739,"Westgate Heights, Albuquerque, NM",41294
17201000300,"Loves Park, IL",41292
26121002200,"Muskegon, MI",41285
42033330600,"Clearfield, PA",41272
36111952400,"Kingston, NY",41222
39141956800,"Chillicothe, OH",41200
12105012206,"Lakeland, FL",41197
12101031409,"New Port Richey, FL",41119
6073014806,"La Mesa, CA",41108
37091950300,"Aulander, NC",40941
24043000601,"Hagerstown, MD",40868
6099002301,"Modesto, CA",40856
50009950100,"Lemington, VT",40831
6037533603,"Bell, CA",40810
45073030902,"Seneca, SC",40805
39163953100,"McArthur, OH",40792
1087231603,"Tuskegee, AL",40789
19173180100,"Lenox, IA",40781
9001071000,"West End - West Side, Bridgeport, CT",40754
8059011100,"Eiber, Lakewood, CO",40747
39035171103,"Maple Heights, OH",40736
30023000500,"Anaconda, MT",40643
48453002111,"Johnston Terrace, Austin, TX",40606
4019004034,"Stella Vann, Tucson, AZ",40534
6071003302,"Bloomington, CA",40508
51680001600,"Doral Acres, Lynchburg, VA",40493
19041080200,"Spencer, IA",40361
47011010200,"Cleveland, TN",40151
36081094202,"Queens County, NY",40143
48017950100,"Muleshoe, TX",40083
22073005302,"West Monroe, LA",40028
19057000800,"West Burlington, IA",39965
47099960200,"Lawrenceburg, TN",39811
39035186106,"Strongsville, OH",39778
1089001000,"Huntsville, AL",39749
17051951000,"Vandalia, IL",39737
18095011300,"Chesterfield, IN",39707
17083010500,"Grafton, IL",39691
12011100101,"Hallandale Beach, FL",39654
21227011300,"Bowling Green, KY",39626
42051261401,"New Salem, PA",39567
12086007001,"Coral Way, Miami, FL",39518
24021750300,"Frederick, MD",39502
20173005300,"Southwest Wichita, Wichita, KS",39422
26155030500,"Owosso, MI",39399
55125950500,"Eagle River, WI",39306
42129806600,"Tarrs, PA",39237
11001009807,"Bellevue, Washington, DC",39225
6059062627,"University Town Center, Irvine, CA",39104
1043964600,"Cullman, AL",39071
6037404201,"Azusa, CA",39052
4013420707,"The Groves, Mesa, AZ",39016
41041951500,"Waldport, OR",38967
39035171205,"Maple Heights, OH",38955
42045406300,"Brookhaven, PA",38825
4013422203,"Mesa, AZ",38805
48113018401,"Garland, TX",38793
5139950300,"Smackover, AR",38742
29127960500,"Hannibal, MO",38666
29510119200,"Central West End, St. Louis, MO",38620
13195020100,"Commerce, GA",38615
48215020503,"McAllen, TX",38598
18141000700,"Park Avenue, South Bend, IN",38576
34039034500,"Linden, NJ",38529
37161960100,"Bostic, NC",38512
42021011700,"Ebensburg, PA",38489
28087000500,"Columbus, MS",38447
6037554403,"Bellflower, CA",38438
31001966000,"Hastings, NE",38429
28163950600,"Yazoo City, MS",38355
36019101600,"Plattsburgh, NY",38344
32031001201,"Reno, NV",38150
48201452700,"Pheasant Trace Village, Houston, TX",38043
37051003407,"Fort Bragg, NC",37973
29023950202,"Poplar Bluff, MO",37972
21013960300,"Pineville, KY",37934
42101031200,"Oxford Circle/ Castor, Philadelphia, PA",37893
48183010200,"Gladewater, TX",37879
39087050900,"Coal Grove, OH",37877
12011041300,"Broward Estates, Fort Lauderdale, FL",37873
39053953500,"Gallipolis, OH",37764
27053026809,"Minneapolis, MN",37748
56043000301,"Worland, WY",37745
6037207301,"Central LA, Los Angeles, CA",37700
48439104602,"Glencrest, Fort Worth, TX",37623
32003001613,"Las Vegas, NV",37496
42101031102,"Oxford Circle/ Castor, Philadelphia, PA",37453
6037533201,"Huntington Park, CA",37427
36081020400,"Queens County, NY",37426
17097862402,"Waukegan, IL",37411
42069110700,"Carbondale, PA",37349
54019020700,"Mount Carbon, WV",37230
48303002300,"Clapp Park, Lubbock, TX",37103
47119011002,"Mount Pleasant, TN",37033
17163501800,"Belleville, IL",36892
36089490100,"Massena, NY",36879
48479001710,"Laredo, TX",36879
1073011804,"Center Point, AL",36872
34039031200,"Elizabeth, NJ",36812
13293010202,"Thomaston, GA",36695
55079080400,"Milwaukee, WI",36640
37067000100,"Winston-Salem, NC",36621
6001403501,"Oakland Ave - Harrison St, Oakland, CA",36571
22087030800,"Chalmette, LA",36570
72127009601,"San Juan, PR",36566
48201422500,"Southwest Houston, Houston, TX",36558
21117060300,"Covington, KY",36497
48453000500,"North University, Austin, TX",36416
37119005825,"Pineville, NC",36408
12111381802,"Port St. Lucie, FL",36331
48029160200,"Inner West Side, San Antonio, TX",36313
22029000500,"Jonesville, LA",36248
47017962100,"Huntingdon, TN",36246
6073013206,"Chula Vista, CA",36234
39061010500,"Sayler Park, Cincinnati, OH",36210
20209045200,"Rosedale, Kansas City, KS",36169
35055952600,"Taos, NM",36114
8109977700,"Center, CO",36054
28103950100,"Macon, MS",35984
32003001707,"Las Vegas, NV",35918
21071920600,"McDowell, KY",35798
26049012602,"Montrose, MI",35725
1077011300,"Waterloo, AL",35672
29189210600,"St. Louis, MO",35504
39035171102,"Maple Heights, OH",35462
26125140301,"Auburn Hills, MI",35394
6029003121,"Bakersfield, CA",35343
26127010400,"Hart, MI",35342
42121200400,"Franklin, PA",35323
22071001749,"Village De L'Est, New Orleans, LA",35318
47035970501,"Crossville, TN",35305
12031012300,"Northwest, Jacksonville, FL",35227
29105960500,"Lebanon, MO",35153
42003281400,"Crafton Heights, Pittsburgh, PA",34976
17165955100,"Eldorado, IL",34957
18097341904,"Wayne, Indianapolis, IN",34828
48113004700,"Oak Cliff, Dallas, TX",34823
37111970800,"Old Fort, NC",34797
4017964202,"Clay Springs, AZ",34795
6037212420,"Central LA, Los Angeles, CA",34769
4003001200,"Bisbee, AZ",34746
6037120104,"Panorama City, Los Angeles, CA",34736
13317010101,"Tignall, GA",34664
28061950200,"Bay Springs, MS",34663
21195930100,"Pikeville, KY",34575
4025001401,"Mayer, AZ",34536
47179060800,"Tree Streets, Johnson City, TN",34366
37137950102,"Bayboro, NC",34248
45083023101,"Duncan, SC",34225
21015070301,"Florence, KY",34215
4009961201,"Thatcher, AZ",34203
39063000500,"Findlay, OH",34196
42023960100,"Emporium, PA",34189
47133950100,"Monroe, TN",34152
26149040700,"Sturgis, MI",34107
40109102900,"Central Oklahoma City, Oklahoma City, OK",33981
53011041005,"Fruit Valley, Vancouver, WA",33902
6025012200,"Calexico, CA",33891
31055004900,"Joslyn Castle, Omaha, NE",33889
12049970102,"Zolfo Springs, FL",33805
26017280600,"Bay City, MI",33691
55079017300,"Layton Park, Milwaukee, WI",33625
48201521400,"Kempwood, Houston, TX",33598
55017010500,"Chippewa Falls, WI",33567
48453002110,"East MLK, Austin, TX",33524
18017951600,"Logansport, IN",33515
27137012500,"Hibbing, MN",33496
42129804801,"Greensburg, PA",33421
4025002001,"Cottonwood, AZ",33407
42003481000,"Pittsburgh, PA",33330
30093000600,"Butte, MT",33313
47121960100,"Ten Mile, TN",33242
1065040100,"Akron, AL",33242
23021960600,"Sangerville, ME",33235
12086017500,"Miami, FL",33194
39061021702,"Cincinnati, OH",33131
42133000400,"York, PA",33037
6071002804,"Fontana, CA",33021
36047028300,"Kings County, NY",32935
17031440900,"South Side, Chicago, IL",32866
13063040516,"Jonesboro, GA",32589
29097011800,"Carthage, MO",32521
19045000100,"Clinton, IA",32388
18143966800,"Austin, IN",32318
37077970400,"Oxford, NC",32068
47093003200,"Knoxville, TN",31963
12011060203,"Sunrise, FL",31869
6037191204,"Central LA, Los Angeles, CA",31868
37123960500,"Candor, NC",31814
8031001402,"Ruby Hill, Denver, CO",31776
28107950100,"Sardis, MS",31662
1087231400,"Tuskegee, AL",31581
53077001202,"Yakima, WA",31529
12097041800,"Kissimmee, FL",31524
41019010000,"Reedsport, OR",31522
29203470200,"Birch Tree, MO",31513
41053005100,"West Salem, Salem, OR",31435
37119001607,"Eastland - Wilora Lake, Charlotte, NC",31393
26103001900,"Ishpeming, MI",31372
6071009904,"Victorville, CA",31359
45067950400,"Mullins, SC",31326
1093964100,"Hackleburg, AL",31312
35023970200,"Lordsburg, NM",31310
17031580800,"Brighton Park, Chicago, IL",31293
40109107217,"Central Oklahoma City, Oklahoma City, OK",31272
29031880900,"Cape Girardeau, MO",31189
4019004033,"Stella Vann, Tucson, AZ",31081
28049000301,"Jackson, MS",30861
17193958000,"Carmi, IL",30861
12057000901,"Temple Crest, Tampa, FL",30840
35011960100,"Fort Sumner, NM",30808
33011001500,"Kalivas Union, Manchester, NH",30753
54075960200,"Marlinton, WV",30705
45073031100,"Westminster, SC",30705
48001950500,"Palestine, TX",30614
13127000504,"Brunswick, GA",30411
47025970900,"Tazewell, TN",30263
45079011800,"Hopkins, SC",30168
54089000500,"Meadow Bridge, WV",30043
4013107102,"Alhambra, Phoenix, AZ",30017
12099001404,"West Palm Beach, FL",30007
32003002964,"Las Vegas, NV",29941
49057200400,"Ogden, UT",29895
72113072900,"Ponce, PR",29743
25005652600,"New Bedford, MA",29626
26025002600,"Springfield, MI",29626
47013950600,"LaFollette, TN",29525
48113005901,"Cedar Crest, Dallas, TX",29513
12095016302,"Winter Park, FL",29460
34031175401,"Passaic, NJ",29458
6065044200,"Banning, CA",29372
36047112200,"Kings County, NY",29329
25027732700,"Oak Hill, Worcester, MA",29252
21115960400,"Paintsville, KY",29160
21025920600,"Whick, KY",28962
1125011703,"Tuscaloosa, AL",28953
18019050504,"Clarksville, IN",28682
8021974800,"Antonito, CO",28620
6037226420,"South Los Angeles, Los Angeles, CA",28619
42039111100,"Titusville, PA",28515
45055970100,"Bethune, SC",28414
36047044900,"Kings County, NY",28392
12071000503,"Fort Myers, FL",28334
48141003300,"Timberwolf, El Paso, TX",28261
48141003501,"Stiles Garden, El Paso, TX",28047
6099002100,"Modesto, CA",27857
42101026700,"North Philadelphia, Philadelphia, PA",27851
37035010700,"Hickory, NC",27661
45051070400,"Conway, SC",27586
48201331800,"Southeast Houston, Houston, TX",27484
13285960600,"LaGrange, GA",27341
41045970300,"Ontario, OR",27321
26163583200,"Taylor, MI",27315
18039002102,"Elkhart, IN",27112
42051261200,"Brownsville, PA",27018
18097351000,"Indianapolis, IN",26831
13059002100,"Athens, GA",26790
40143000700,"Tulsa, OK",26636
42107000602,"Shenandoah, PA",26458
17031231200,"Humboldt Park, Chicago, IL",26439
72127006300,"San Juan, PR",26322
51595890100,"Emporia, VA",26226
54039000800,"Charleston, WV",26221
47001020800,"Rocky Top, TN",26078
6029005204,"Bodfish, CA",25947
72021031031,"Bayamón, PR",25901
48141000205,"Northeast El Paso, El Paso, TX",25876
12057000902,"Temple Crest, Tampa, FL",25872
1125011701,"Tuscaloosa, AL",25869
22017023700,"Cedar Grove, Lynbrook, Shreveport, LA",25615
26163525500,"Detroit, MI",25471
1119011600,"Cuba, AL",25088
6037212204,"Central LA, Los Angeles, CA",24791
39035105500,"Brooklyn Centre, Cleveland, OH",24509
39035112200,"Hough, Cleveland, OH",24507
42101016902,"North Philadelphia, Philadelphia, PA",24493
47019070100,"Elizabethton, TN",24421
22045031000,"New Iberia, LA",24420
6037433501,"El Monte City, South El Monte, CA",24356
37157041400,"Reidsville, NC",24155
47093002600,"Knoxville, TN",24081
34013004100,"Upper Clinton Hill, Newark, NJ",23999
39049006100,"Reeb-Hosack, Columbus, OH",23818
17163501300,"East Saint Louis, IL",23795
37105030200,"Sanford, NC",23791
17031612100,"South Side, Chicago, IL",23608
48215023512,"Edinburg, TX",23608
39095001100,"Lagrange, Toledo, OH",23584
26073000500,"Mount Pleasant, MI",22946
6037191720,"Central LA, Los Angeles, CA",22837
22067950600,"Mer Rouge, LA",22752
72041240102,"Cidra, PR",22484
26163543800,"Brightmoor, Detroit, MI",22479
12081000105,"Bradenton, FL",22448
16065950302,"Rexburg, ID",22230
25009207000,"Lynn, MA",22180
42011001400,"Reading, PA",22138
26163541000,"Detroit, MI",22128
4019001400,"Northwest Tucson, Tucson, AZ",22124
48201230900,"Northeast Houston, Houston, TX",21796
6029000600,"Homaker Park, Bakersfield, CA",21639
55079016600,"Milwaukee, WI",21625
5119000500,"M.L.K., Little Rock, AR",21550
48029170900,"Edgewood, San Antonio, TX",21507
48439106102,"Fort Worth, TX",21254
21195930300,"Pikeville, KY",21254
39023000901,"Springfield, OH",21225
45021970502,"Gaffney, SC",21163
22073010603,"Tanglewood Heights, Monroe, LA",21114
13021013800,"Macon, GA",21052
21159950300,"Pilgrim, KY",20985
36015001000,"Elmira, NY",20628
39095006800,"Glendale-Heatherdowns, Toledo, OH",20627
17031251900,"Austin, Chicago, IL",20363
5027950500,"Magnolia, AR",20223
28135950200,"Charleston, MS",20086
36005003300,"Bronx County, NY",20015
20209042002,"Riverview, Kansas City, KS",19951
48479000800,"Eastern Division, Laredo, TX",19818
72127009111,"San Juan, PR",19792
4015950401,"Dolan Springs, AZ",19732
39035121300,"Union - Miles Park, Cleveland, OH",19257
12086003400,"Overtown, Miami, FL",18799
6075012401,"Tenderloin, San Francisco, CA",18743
42101029400,"Frankford, Philadelphia, PA",18714
39035115200,"South Broadway, Cleveland, OH",18579
72073956200," County, PR",18516
4019002603,"Amphi, Tucson, AZ",18516
1089002100,"Huntsville, AL",18157
22087030105,"Saint Bernard, LA",18008
21121930100,"Scalf, KY",17740
47065001900,"Piney Woods, Chattanooga, TN",17420
36005017300,"Bronx County, NY",17282
21117065100,"Covington, KY",17085
42101020101,"North Philadelphia, Philadelphia, PA",16840
39035119702,"Buckeye - Shaker, Cleveland, OH",16765
39113004200,"Lakeview, Dayton, OH",15817
27053005901,"Central Minneapolis, Minneapolis, MN",15788
42101017202,"Allegheny West, Philadelphia, PA",15535
72045951800,"Comerío, PR",14226
26049002900,"East Village, Flint, MI",12561
17143000900,"Peoria, IL",12094
39035111902,"St. Clair - Superior, Cleveland, OH",11961
72133953800,"Santa Isabel, PR",11233
13021012700,"Macon, GA",11201
37107010300,"Kinston, NC",11110
72127005103,"San Juan, PR",7967
39061008502,"Cincinnati, OH",6968
55035960300,,
6081611500,"Lindenwood, Atherton, CA",246886
34035052601,"Far Hills, NJ",202292
17031831000,"Bucktown, Chicago, IL",148825
13121011506,"Brookfield Country Club, Roswell, GA",147309
42029304405,"Downingtown, PA",135869
6001450602,"Pleasanton, CA",134928
36103110801,"Northport, NY",128204
24031702401,"Silver Spring, MD",127840
6013356002,"Hercules, CA",121395
6013345111,"San Ramon, CA",119863
24013514100,"Eldersburg, MD",116918
37183053412,"Lake Marsha, Apex, NC",115306
6013352202,"Moraga, CA",112196
25025060200,"City Point, Boston, MA",108924
24003740800,"Gambrills, MD",108668
37183053806,"Coachmans Trail, Raleigh, NC",107121
6037920314,"Santa Clarita, CA",107105
6037920109,"Valencia, Santa Clarita, CA",106294
51107611016,"Ashburn, VA",105331
34029722701,"Toms River, NJ",101928
34023008602,"Princeton Meadows, NJ",101468
8014031000,"Broomfield, CO",100928
17031804607,"Elk Grove Village, IL",98305
37183053414,"Dogwood Ridge, Apex, NC",96971
9003468102,"Salmon Brook, Granby, CT",94485
22103040305,"Madisonville, LA",93929
29189218401,"Kirkwood, MO",92780
37183053203,"Bridgewater, Holly Springs, NC",91627
18057110511,"Noblesville, IN",91348
25015822200,"Northampton, MA",91011
41071030302,"Newberg, OR",88138
48303010504,"Lubbock, TX",87483
36047068800,"Kings County, NY",87027
39035184105,"Solon, OH",86735
48453001738,"Austin, TX",86252
11001010100,"Downtown, Washington, DC",85953
25017316300,"Billerica, MA",84887
42017105801,"Morrisville, PA",84089
32003002977,"Las Vegas, NV",83736
12086002703,"Edgewater, Miami, FL",83625
33011016100,"Milford, Milford, NH",83215
36103158403,"Middle Island, NY",83162
6019004302,"Fresno, CA",82780
6037301501,"Grandview, Glendale, CA",81762
55025012700,"Mount Horeb, WI",81472
55101001703,"Mount Pleasant, WI",81351
10003011100,"Wilmington, DE",80690
17031804611,"Schaumburg, IL",80279
26147640100,"Saint Clair, MI",80122
6085504802,"Lakewood, Sunnyvale, CA",79999
42091202201,"Montgomery County, PA",78953
53061050700,"Edmonds, WA",78921
53033021906,"West Ridge, Woodinville, WA",78878
6073018801,"Fallbrook, CA",78471
17043846003,"Lisle, IL",77178
47147080604,"Greenbrier, TN",76748
36081069702,"Queens County, NY",76647
25017382601,"Natick, MA",76575
17063000102,"Minooka, IL",76534
6001404102,"Piedmont Avenue, Oakland, CA",76340
4013422509,"Heritage Cove At Wind Drift, Gilbert, AZ",76020
36081124700,"Queens County, NY",75505
27123036400,"Macalester - Groveland, Saint Paul, MN",75300
45045003103,"Fountain Inn, SC",74900
19121060100,"Winterset, IA",74559
5007021409,"Rogers, AR",73723
36001000401,"Dunes, Albany, NY",73206
23031034002,"Wells, ME",72726
12099003600,"Southside, West Palm Beach, FL",72698
17031030500,"Magnolia Glen, Chicago, IL",72003
6067009322,"Elk Grove, CA",71564
47157021745,"Richwood, Memphis, TN",71087
54037972300,"Kearneysville, WV",70966
17197881700,"Joliet, IL",70932
32003005341,"Highland Hills, Henderson, NV",70877
36081060800,"Queens County, NY",70856
13089022302,"Decatur, GA",70774
8001008508,"Thornton, CO",69917
55071000300,"Manitowoc, WI",69827
27141030503,"Elk River, MN",69630
12099000511,"West Palm Beach, FL",68840
42101021100,"Northwest Philadelphia, Philadelphia, PA",68588
12095017802,"Apopka, FL",67660
47125102006,"Clarksville, TN",67658
28059040900,"Ocean Springs, MS",67486
39049007941,"Golfview Woods, Columbus, OH",66953
17161022000,"Stewartville, Moline, IL",66887
6037432902,"Rosemead, CA",66872
42011010802,"Sinking Spring, PA",66362
18095011501,"Anderson, IN",66322
12035060301,"Palm Coast, FL",65774
42071014602,"Kirkwood, PA",64801
26055550200,"Traverse City, MI",64100
25017311500,"Highlands, Lowell, MA",63778
27163070602,"Stillwater, MN",63737
24003740105,"Severn, MD",63573
53059950200,"Washougal, WA",63419
6065043821,"Beaumont, CA",63300
18141000800,"Northshore Triangle, South Bend, IN",62840
55031020500,"Superior, WI",62627
47165020407,"White House, TN",62603
6037128500,"Sherman Oaks, Los Angeles, CA",61968
12091020700,"Crestview, FL",61952
55079130100,"Hales Corners, WI",61940
18085962300,"Warsaw, IN",61818
55115100300,"Shawano, WI",61784
5069000302,"White Hall, AR",61109
6089011100,"Girvan, Redding, CA",61041
17163503334,"Belleville, IL",60867
51041100928,"Charter Colony, Midlothian, VA",60785
42133020521,"Spring Grove, PA",60557
18109510600,"Martinsville, IN",60432
6001400800,"Paradise Park, Oakland, CA",60350
37063001809,"Durham, NC",60314
12073002410,"Tallahassee, FL",60145
48085031623,"Pitman Creek North, Plano, TX",60130
26099258000,"Eastpointe, MI",60017
36047101400,"Kings County, NY",59870
12009065022,"Clements Wood, West Melbourne, FL",59451
17031807300,"Skokie, IL",59390
41065970700,"The Dalles, OR",58730
24043010400,"Hagerstown, MD",58590
28047002900,"Pass Christian, MS",58204
41051005700,"Downtown, Portland, OR",58083
42091204002,"Plymouth Meeting, PA",57949
17091010100,"Grant Park, IL",57828
23027041000,"Winterport, ME",57454
47037010601,"Madison, Nashville, TN",57410
42043025300,"Millersburg, PA",56837
51161030300,"Salem, VA",56552
45079000700,"Elmwood Park, Columbia, SC",55583
36029015600,"Irving, NY",55549
12021010405,"Urban Estates, Naples, FL",55498
37129012007,"Carriage Hills, Wilmington, NC",54503
48453001308,"South Congress, Austin, TX",54315
12099000702,"North Palm Beach, FL",54315
24045010603,"Salisbury, MD",54146
8031008386,"Montbello, Denver, CO",53803
36005024400,"Bronx County, NY",53698
9001022000,"Cove - East Side - Shippan, Stamford, CT",53574
42015950800,"Ulster, PA",53361
55117010601,"Sheboygan Falls, WI",53052
23019018000,"Levant, ME",52809
1125010301,"Northport, AL",52617
21003920100,"Scottsville, KY",52386
47009011602,"Maryville, TN",52204
26099262200,"Warren, MI",52192
4013116717,"Ahwatukee Foothills Village, Phoenix, AZ",52060
42117950500,"Mainesburg, PA",51989
18097340800,"Speedway, IN",51983
40109108804,"Choctaw, OK",51229
23009966200,"Bernard, Tremont, ME",51181
26029000100,"Elmira, MI",50982
11001007604,"Southeast Washington, Washington, DC",50951
17113001403,"Bloomington, IL",50714
42003551300,"McKeesport, PA",50068
36081004200,"Queens County, NY",49858
11001001803,"Brightwood, Washington, DC",49601
34013002202,"Upper Vailsburg, Newark, NJ",49538
39101010400,"Marion, OH",48909
48113015304,"Irving, TX",48367
48449950800,"Mount Pleasant, TX",48242
47163042100,"Kingsport, TN",48019
4019004627,"Casas Adobes Terrace, Tucson, AZ",47203
11001007603,"Southeast Washington, Washington, DC",47175
13217100800,"Covington, GA",47173
9009171500,"Meriden, CT",47118
32031001501,"Northeast Reno, Reno, NV",46998
19141490300,"Sheldon, IA",46817
6073001300,"North Park, San Diego, CA",46756
48303001901,"Maedgen Area, Lubbock, TX",46705
10005050200,"Ellendale, DE",46172
36081035300,"Queens County, NY",46123
12095014703,"Metro West, Orlando, FL",46109
38079951600,"Rolla, ND",45674
42085032200,"Greenville, PA",45589
17067953800,"Carthage, IL",45586
39175938500,"Upper Sandusky, OH",45571
51540000201,"Barracks Rugby, Charlottesville, VA",45554
49001100100,"Beaver, UT",45471
